"국가별(1)","산업별(1)",2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"국가별(1)","산업별(1)",수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러)
"멕시코","전산업",3789088308,6284571277,7482004550,9089948791,7132759513,8845549430,9729058514,9042359578,9727377010,10846017554,10891938146,9720803669,10932591428,11458232623,10927015725,8241005831,11290247486,12654211854,12221993276,13604231407,3900017854
"멕시코","농림어업",304177,269526,101222,47477,14863,31231,43327,29085,19520,23562,2908,6838,309518,395279,14562,6370,20050,51773,37712,87114,5273
"멕시코","광업",8892,15356,13098,21344,20649,15834,8449,6840,28275,814901,1773900,2270502,2404769,1785673,2238370,3370126,5923092,2749862,4773661,4727195,1194585
"멕시코","제조업",3784442137,6278917019,7476124156,9082289249,7125580171,8834071730,9714824043,9042188758,9727325278,10845174932,10890117807,9718464908,10929212810,11454999085,10923367074,8236837883,11283638944,12650349998,12216241032,13598475535,3898563679
"멕시코","전기가스증기수도",-,-,-,-,-,-,-,-,-,-,-,28430,-,-,-,-,-,-,-,-,-
"멕시코","폐수처리 및 자원재활용",4333102,5369376,5766074,7590721,7143830,11430635,14182695,134895,3937,4159,43531,32991,664331,1052586,1395719,791452,665400,1060221,940871,941563,254317
"모로코","전산업",207888415,222718469,390286590,390761223,302203289,322779720,362316739,508491842,292557002,308248868,349477664,543570940,274933463,331535676,322439825,271076727,309608465,357973555,392259696,365792841,119070188
"모로코","농림어업",0,0,0,0,0,0,47700,45000,0,7320,7790,17735,47756,54064,58018,90190,62726,50181,64909,50363,12241
"모로코","광업",0,0,0,0,0,0,0,0,0,0,0,91568,0,0,0,8750,0,396,0,2464,0
"모로코","제조업",207888415,222669859,390271162,390761223,302203289,322769514,362268884,508445651,292554410,308237757,349469874,543453562,274885707,331481612,322381783,270977787,309535239,357919846,391562372,365739457,119057947
"모로코","폐수처리 및 자원재활용",0,48610,15428,0,0,10206,155,1191,2592,3791,0,8075,0,0,24,0,10500,3132,632415,557,0
