"시점",전국,전국
"시점",제조업,제조업
"시점",생산자제품 출하지수(계절조정),생산자제품 재고지수(계절조정)
"2017.09",100.839,89.581
"2017.10",101.322,91.819
"2017.11",102.674,91.731
"2017.12",97.844,94.300
"2018.01",100.259,93.667
"2018.02",99.197,93.543
"2018.03",97.844,95.476
"2018.04",100.452,95.811
"2018.05",102.481,94.453
"2018.06",101.708,96.875
"2018.07",100.549,95.161
"2018.08",103.253,95.192
"2018.09",101.611,95.253
"2018.10",103.736,96.134
"2018.11",101.322,98.617
"2018.12",97.941,100.843
"2019.01",100.935,97.365
"2019.02",97.265,97.422
"2019.03",99.680,96.767
"2019.04",99.969,99.018
"2019.05",99.003,99.343
"2019.06",100.066,99.542
"2019.07",101.418,101.453
"2019.08",102.674,99.116
"2019.09",102.674,101.186
"2019.10",102.481,100.123
"2019.11",101.128,100.171
"2019.12",104.123,98.386
"2020.01",99.9,100.9
"2020.02",95.5,101.4
"2020.03",101.7,99.9
"2020.04",96.6,101.4
"2020.05",88.9,102.0
"2020.06",97.1,102.2
"2020.07",98.7,101.3
"2020.08",98.7,101.9
"2020.09",103.4,99.3
"2020.10",103.8,97.1
"2020.11",102.9,95.7
"2020.12",102.7,96.8
"2021.01",102.4,96.9
"2021.02",104.2,97.3
"2021.03",103.8,96.6
"2021.04",103.6,95.9
"2021.05",102.1,95.8
"2021.06",103.0,95.3
"2021.07",103.7,97.3
"2021.08",101.9,101.5
"2021.09",101.1,103.3
"2021.10",102.2,104.9
"2021.11",104.0,105.3
"2021.12",106.6,109.1
"2022.01",106.2,105.4
"2022.02",103.6,106.5
"2022.03",104.8,105.3
"2022.04",103.3,105.5
"2022.05",103.7,105.0
"2022.06",102.4,112.6
"2022.07",103.2,113.0
"2022.08",102.7,110.9
"2022.09",103.1,110.9
"2022.10",101.2,110.5
"2022.11",98.7,114.3
"2022.12",97.4,114.7
"2023.01",97.5,116.6
"2023.02",98.3,116.9
"2023.03",102.4,116.1
"2023.04",98.3,122.4
"2023.05",103.2,122.3
"2023.06",105.7,116.8
"2023.07",98.2,116.9
"2023.08",100.7,120.0
